UserId,Transportation,Business of Science,Global Change,Physics,Chemistry,Computational Sciences,Information Systems,Agriculture,Biology & Medicine,Engineered Technologies,Mathematics,Energy,Social Sciences,Space Sciences,IEEE Spectrum
5558,0.000190367,0.498,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.498,0.000190367,0.000190367
5559,0.000190367,0.24031246,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.24031246,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
5560,0.000190367,0.64644662,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.64644662,0.000190367,0.000190367
5561,0.000190367,0.5,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.5,0.000190367,0.000190367
5562,0.000190367,0.498,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.498,0.000190367,0.000190367
5563,0.000190367,0.5,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.5,0.000190367,0.000190367
5564,0.000190367,0.548,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.548,0.000190367,0.000190367
5565,0.000190367,0.472,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.7518589,0.000190367,0.000190367,0.47305304,0.472,0.000190367,0.000190367
5568,0.000190367,0.57299998,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.57299998,0.000190367,0.000190367
5569,0.000190367,0.58449998,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.58449998,0.000190367,0.000190367
5570,0.000190367,0.66525,0.000190367,0.000190367,0.3573532,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.3573532,0.66525,0.000190367,0.000190367
5571,0.000190367,0.3201563,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.3201563,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
5572,0.000190367,0.680625,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.680625,0.000190367,0.000190367
5574,0.000190367,0.573,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.573,0.000190367,0.000190367
5575,0.000190367,0.423,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.423,0.000190367,0.000190367
5577,0.000190367,0.4595,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.4595,0.000190367,0.000190367
5578,0.000190367,0.47775,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.47775,0.000190367,0.000190367
5579,0.000190367,0.4595001,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.4595001,0.000190367,0.000190367
